model,seed,AUROC,AUPRC,RecK,time_sec,dataset,method,params_tag,target_size,K_request,multiplicity_cap,split_id,num_subgraphs_actual
GCN,3407,0.687084326340933,0.354206708388448,0.3426791277258567,3.1237683296203613,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
GIN,3407,0.7293701823880444,0.37004427920184974,0.38006230529595014,2.0881690979003906,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
GraphSAGE,3407,0.7436627136152525,0.39665074823296914,0.3847352024922118,1.9736158847808838,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
XGBGraph,3407,0.7695371703418115,0.43068472364734806,0.4501557632398754,0.5908091068267822,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
XGBoost,3407,0.7247199921915034,0.3650760222472132,0.3878504672897196,0.4749777317047119,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
GCN,3407,0.6878306071377251,0.37595535388070944,0.37538940809968846,3.0730433464050293,tolokers,metis,metis_K15,,15,1,0,15
GIN,3407,0.7389369463897906,0.3633229117109809,0.37694704049844235,1.5080764293670654,tolokers,metis,metis_K15,,15,1,0,15
GraphSAGE,3407,0.7574197663415837,0.4026656035690946,0.40809968847352024,1.6336822509765625,tolokers,metis,metis_K15,,15,1,0,15
XGBGraph,3407,0.768985424139642,0.45012549043663236,0.4517133956386293,0.5886998176574707,tolokers,metis,metis_K15,,15,1,0,15
XGBoost,3407,0.7297941593529793,0.37688942637060563,0.3925233644859813,0.4733607769012451,tolokers,metis,metis_K15,,15,1,0,15
GCN,3407,0.7182501918233111,0.38682263032096414,0.3707165109034268,2.75896954536438,tolokers,uniform,uniform_K15,500,15,-1,0,15
GIN,3407,0.7336997633049462,0.3664539777769088,0.38006230529595014,0.9459056854248047,tolokers,uniform,uniform_K15,500,15,-1,0,15
GraphSAGE,3407,0.7176296468010921,0.3784077099503439,0.3629283489096573,1.3314449787139893,tolokers,uniform,uniform_K15,500,15,-1,0,15
XGBGraph,3407,0.7607102478384291,0.42124946955042675,0.45482866043613707,0.45359325408935547,tolokers,uniform,uniform_K15,500,15,-1,0,15
XGBoost,3407,0.7166573127384235,0.356519077820761,0.38161993769470404,0.39972472190856934,tolokers,uniform,uniform_K15,500,15,-1,0,15
GCN,3417,0.6791619558115007,0.3605363805184535,0.3691588785046729,1.362109661102295,tolokers,forest_fire,ff_b0.5_M2,500,15,2,1,14
GIN,3417,0.7438399637772518,0.37127042914095265,0.40965732087227413,1.5595440864562988,tolokers,forest_fire,ff_b0.5_M2,500,15,2,1,14
GraphSAGE,3417,0.7519534797968708,0.3970585173192881,0.40031152647975077,1.3587820529937744,tolokers,forest_fire,ff_b0.5_M2,500,15,2,1,14
XGBGraph,3417,0.7738498057365337,0.43075013608135954,0.4439252336448598,0.47137451171875,tolokers,forest_fire,ff_b0.5_M2,500,15,2,1,14
XGBoost,3417,0.7204348085427121,0.3655656149125426,0.3956386292834891,0.4327850341796875,tolokers,forest_fire,ff_b0.5_M2,500,15,2,1,14
GCN,3417,0.6642356620547734,0.36127364517265476,0.37538940809968846,3.8400824069976807,tolokers,metis,metis_K15,,15,1,1,15
GIN,3417,0.7523120470461921,0.3897277928878644,0.40342679127725856,1.2276582717895508,tolokers,metis,metis_K15,,15,1,1,15
GraphSAGE,3417,0.7546850979722309,0.41740502681299774,0.42679127725856697,1.973816156387329,tolokers,metis,metis_K15,,15,1,1,15
XGBGraph,3417,0.780734432487684,0.4741250901140046,0.48286604361370716,0.667243242263794,tolokers,metis,metis_K15,,15,1,1,15
XGBoost,3417,0.731929972968503,0.3956081419540183,0.411214953271028,0.49633288383483887,tolokers,metis,metis_K15,,15,1,1,15
GCN,3417,0.7044982227536338,0.3683385149050854,0.367601246105919,3.0242362022399902,tolokers,uniform,uniform_K15,500,15,-1,1,15
GIN,3417,0.7410019277226032,0.36225251682007353,0.3862928348909657,1.4706201553344727,tolokers,uniform,uniform_K15,500,15,-1,1,15
GraphSAGE,3417,0.7215850705882672,0.3658491027110609,0.37538940809968846,1.7935421466827393,tolokers,uniform,uniform_K15,500,15,-1,1,15
XGBGraph,3417,0.7675020131280349,0.4346127950986341,0.43457943925233644,0.44935107231140137,tolokers,uniform,uniform_K15,500,15,-1,1,15
XGBoost,3417,0.7251795547530157,0.3796463801295281,0.40654205607476634,0.43221163749694824,tolokers,uniform,uniform_K15,500,15,-1,1,15
GCN,3427,0.6887927738870858,0.3595348722738914,0.3707165109034268,1.5218617916107178,tolokers,forest_fire,ff_b0.5_M2,500,15,2,2,13
GIN,3427,0.7439335030596835,0.3971688006192593,0.397196261682243,1.3376178741455078,tolokers,forest_fire,ff_b0.5_M2,500,15,2,2,13
GraphSAGE,3427,0.7365574561653232,0.37059525003966015,0.3956386292834891,1.6915831565856934,tolokers,forest_fire,ff_b0.5_M2,500,15,2,2,13
XGBGraph,3427,0.7537239479542011,0.4270395020517957,0.43613707165109034,0.47608232498168945,tolokers,forest_fire,ff_b0.5_M2,500,15,2,2,13
XGBoost,3427,0.7282287320140228,0.39148673792611255,0.40031152647975077,0.4122459888458252,tolokers,forest_fire,ff_b0.5_M2,500,15,2,2,13
GCN,3427,0.7122518158821568,0.39421420453959644,0.3847352024922118,2.8795828819274902,tolokers,metis,metis_K15,,15,1,2,15
GIN,3427,0.751663372457155,0.4040257161860016,0.40186915887850466,1.5290465354919434,tolokers,metis,metis_K15,,15,1,2,15
GraphSAGE,3427,0.7669960198357505,0.41785550806714505,0.4236760124610592,1.8778796195983887,tolokers,metis,metis_K15,,15,1,2,15
XGBGraph,3427,0.7763740107204151,0.43097904499086875,0.4501557632398754,0.5504357814788818,tolokers,metis,metis_K15,,15,1,2,15
XGBoost,3427,0.7441636232508831,0.4040096782721916,0.4127725856697819,0.4781022071838379,tolokers,metis,metis_K15,,15,1,2,15
GCN,3427,0.70321036306798,0.36260111255870686,0.35046728971962615,1.9538805484771729,tolokers,uniform,uniform_K15,500,15,-1,2,15
GIN,3427,0.737120725322575,0.37257001666990575,0.3909657320872274,1.0094547271728516,tolokers,uniform,uniform_K15,500,15,-1,2,15
GraphSAGE,3427,0.7315490376299043,0.37388777894068453,0.38161993769470404,1.415104866027832,tolokers,uniform,uniform_K15,500,15,-1,2,15
XGBGraph,3427,0.757916947962335,0.4172116675579859,0.4158878504672897,0.44898104667663574,tolokers,uniform,uniform_K15,500,15,-1,2,15
XGBoost,3427,0.7193248768399447,0.3569377216392586,0.3940809968847352,0.39870715141296387,tolokers,uniform,uniform_K15,500,15,-1,2,15
GCN,3407,0.693217927549081,0.37965259214484876,0.3707165109034268,4.520365238189697,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
GIN,3407,0.7269984871037799,0.3443563127476118,0.35202492211838005,1.3714866638183594,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
GraphSAGE,3407,0.7467589994279191,0.40503353420074023,0.4143302180685358,1.8091719150543213,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
XGBGraph,3407,0.758803876593218,0.40905205679570106,0.4143302180685358,0.5104522705078125,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
