model,seed,AUROC,AUPRC,RecK,time_sec,dataset,method,params_tag,target_size,K_request,multiplicity_cap,split_id,num_subgraphs_actual
GCN,3407,0.6920683433244132,0.37665874138523353,0.3660436137071651,6.425880193710327,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
GIN,3407,0.7288123357978902,0.3467460688763751,0.35358255451713394,1.4258756637573242,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
GraphSAGE,3407,0.7475042634933804,0.40554688254864485,0.4190031152647975,2.0365800857543945,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
XGBGraph,3407,0.758803876593218,0.40905205679570106,0.4143302180685358,0.399799108505249,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
XGBoost,3407,0.7229769757801041,0.3636300617702834,0.38317757009345793,0.1978132724761963,tolokers,forest_fire,ff_b0.3_M1,500,15,1,0,11
GCN,3407,0.7129357371573276,0.3938509726212064,0.37227414330218067,2.7733960151672363,tolokers,forest_fire,ff_b0.3_M2,500,15,2,0,15
GIN,3407,0.7301862787362166,0.35898148366435834,0.3691588785046729,1.509033203125,tolokers,forest_fire,ff_b0.3_M2,500,15,2,0,15
GraphSAGE,3407,0.7347209004714922,0.3944995475404577,0.3956386292834891,2.9354093074798584,tolokers,forest_fire,ff_b0.3_M2,500,15,2,0,15
XGBGraph,3407,0.7604943618858604,0.4020652647696797,0.4158878504672897,0.32119035720825195,tolokers,forest_fire,ff_b0.3_M2,500,15,2,0,15
XGBoost,3407,0.7159245883593753,0.35497701811487725,0.3629283489096573,0.19300198554992676,tolokers,forest_fire,ff_b0.3_M2,500,15,2,0,15
GCN,3407,0.6941153624037155,0.35608371599174216,0.35046728971962615,3.885615825653076,tolokers,forest_fire,ff_b0.3_Minf,500,15,-1,0,15
GIN,3407,0.7274960076349744,0.3685144932556207,0.37694704049844235,2.7980563640594482,tolokers,forest_fire,ff_b0.3_Minf,500,15,-1,0,15
GraphSAGE,3407,0.7390677658210174,0.401895850193319,0.40031152647975077,2.002487897872925,tolokers,forest_fire,ff_b0.3_Minf,500,15,-1,0,15
XGBGraph,3407,0.7799305369154812,0.42459816304519676,0.4485981308411215,0.2695438861846924,tolokers,forest_fire,ff_b0.3_Minf,500,15,-1,0,15
XGBoost,3407,0.708952522713778,0.34796186328747125,0.3660436137071651,0.18597793579101562,tolokers,forest_fire,ff_b0.3_Minf,500,15,-1,0,15
GCN,3407,0.6949206136176928,0.3517369360406186,0.3660436137071651,4.63771915435791,tolokers,forest_fire,ff_b0.5_M1,500,15,1,0,10
GIN,3407,0.7363639383020316,0.35595119998527075,0.3847352024922118,2.8915324211120605,tolokers,forest_fire,ff_b0.5_M1,500,15,1,0,10
GraphSAGE,3407,0.7484928652573415,0.40370639550278165,0.40809968847352024,2.7894608974456787,tolokers,forest_fire,ff_b0.5_M1,500,15,1,0,10
XGBGraph,3407,0.7517728405304355,0.4022264123250314,0.3987538940809969,0.2957935333251953,tolokers,forest_fire,ff_b0.5_M1,500,15,1,0,10
XGBoost,3407,0.7250426349338039,0.37290111755848354,0.397196261682243,0.24037528038024902,tolokers,forest_fire,ff_b0.5_M1,500,15,1,0,10
GCN,3407,0.685780876774874,0.3560848427049243,0.35202492211838005,4.664508581161499,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
GIN,3407,0.7293701823880444,0.37004427920184974,0.38006230529595014,1.495682716369629,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
GraphSAGE,3407,0.7405176246987086,0.3963047565383448,0.3940809968847352,1.7164580821990967,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
XGBGraph,3407,0.7695371703418115,0.43068472364734806,0.4501557632398754,0.3511507511138916,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
XGBoost,3407,0.7247199921915034,0.3650760222472132,0.3878504672897196,0.25967884063720703,tolokers,forest_fire,ff_b0.5_M2,500,15,2,0,13
GCN,3407,0.701020662691925,0.37468180517715527,0.37383177570093457,1.6186363697052002,tolokers,forest_fire,ff_b0.5_Minf,500,15,-1,0,15
GIN,3407,0.7276719021551995,0.3501382395088697,0.35514018691588783,2.7431976795196533,tolokers,forest_fire,ff_b0.5_Minf,500,15,-1,0,15
GraphSAGE,3407,0.7143754287217112,0.3736080992175453,0.3847352024922118,2.4119136333465576,tolokers,forest_fire,ff_b0.5_Minf,500,15,-1,0,15
XGBGraph,3407,0.7440758454459926,0.3998254064086513,0.4236760124610592,0.3177459239959717,tolokers,forest_fire,ff_b0.5_Minf,500,15,-1,0,15
XGBoost,3407,0.707882243532911,0.3447217353012906,0.37227414330218067,0.28727173805236816,tolokers,forest_fire,ff_b0.5_Minf,500,15,-1,0,15
GCN,3407,0.6878034943022376,0.3741734386311609,0.37383177570093457,4.878866672515869,tolokers,forest_fire,ff_b0.7_M1,500,15,1,0,12
GIN,3407,0.7273224854878548,0.34460937171787187,0.3598130841121495,2.239445924758911,tolokers,forest_fire,ff_b0.7_M1,500,15,1,0,12
GraphSAGE,3407,0.7385594001556278,0.40762811542283695,0.38006230529595014,2.392284631729126,tolokers,forest_fire,ff_b0.7_M1,500,15,1,0,12
XGBGraph,3407,0.77088772845953,0.42315440866667514,0.4439252336448598,0.3298001289367676,tolokers,forest_fire,ff_b0.7_M1,500,15,1,0,12
XGBoost,3407,0.720282637753539,0.36342999977631685,0.38317757009345793,0.26103782653808594,tolokers,forest_fire,ff_b0.7_M1,500,15,1,0,12
GCN,3407,0.7013758408368106,0.37677840005981666,0.37538940809968846,4.411458730697632,tolokers,forest_fire,ff_b0.7_M2,500,15,2,0,14
GIN,3407,0.7261993362777873,0.3519037462706086,0.34735202492211836,1.580759048461914,tolokers,forest_fire,ff_b0.7_M2,500,15,2,0,14
GraphSAGE,3407,0.7468681285907561,0.3902235686979784,0.40654205607476634,1.983689308166504,tolokers,forest_fire,ff_b0.7_M2,500,15,2,0,14
XGBGraph,3407,0.7594810196595171,0.4078005122427956,0.4143302180685358,0.3813750743865967,tolokers,forest_fire,ff_b0.7_M2,500,15,2,0,14
XGBoost,3407,0.7292166559570966,0.3724843402773996,0.38317757009345793,0.2639648914337158,tolokers,forest_fire,ff_b0.7_M2,500,15,2,0,14
GCN,3407,0.6732588137049961,0.3459251608003178,0.3364485981308411,1.6386497020721436,tolokers,forest_fire,ff_b0.7_Minf,500,15,-1,0,15
GIN,3407,0.7189080169943254,0.35512768627700947,0.37538940809968846,2.834643602371216,tolokers,forest_fire,ff_b0.7_Minf,500,15,-1,0,15
GraphSAGE,3407,0.730242537869853,0.39946210470422294,0.3956386292834891,2.6324479579925537,tolokers,forest_fire,ff_b0.7_Minf,500,15,-1,0,15
XGBGraph,3407,0.7438562314785443,0.4278446673532529,0.4423676012461059,0.36596035957336426,tolokers,forest_fire,ff_b0.7_Minf,500,15,-1,0,15
XGBoost,3407,0.7121043898391937,0.35545337330303245,0.3878504672897196,0.2745850086212158,tolokers,forest_fire,ff_b0.7_Minf,500,15,-1,0,15
GCN,3407,0.7095222311694579,0.3632897128422444,0.3691588785046729,5.066159248352051,tolokers,rwr,rwr_r0.1_M1,500,15,1,0,12
